measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Cabo Verde,Both,Age-standardized,COVID-19,Rate,2020,34.61788798557278,48.33823251061406,26.066830731479662
Deaths,Peru,Both,Age-standardized,COVID-19,Rate,2020,283.3687455051966,355.6208870820239,221.93412677656144
Deaths,United Republic of Tanzania,Both,Age-standardized,COVID-19,Rate,2020,139.4655932327368,151.16211472868872,128.79782588097126
Deaths,Egypt,Both,Age-standardized,COVID-19,Rate,2020,144.03408361560952,190.3942910292303,99.394387168696
Deaths,Indonesia,Both,Age-standardized,COVID-19,Rate,2020,46.125404674936696,94.75237270369112,14.877035007295435
Deaths,Bosnia and Herzegovina,Both,Age-standardized,COVID-19,Rate,2020,74.05706035452855,101.80835157229981,48.10851616876873
Deaths,Vanuatu,Both,Age-standardized,COVID-19,Rate,2020,3.989642706962643e-09,3.989642706962609e-09,3.989642706962609e-09
Deaths,Philippines,Both,Age-standardized,COVID-19,Rate,2020,15.494063675784806,21.905646011630452,9.7952503359608
Deaths,Cyprus,Both,Age-standardized,COVID-19,Rate,2020,8.809893766515808,23.081988366674544,4.796992823462956
Deaths,Cuba,Both,Age-standardized,COVID-19,Rate,2020,4.4004117633543,19.69596079373256,0.5696381436171265
Deaths,Hungary,Both,Age-standardized,COVID-19,Rate,2020,51.852820435523064,70.9440112395382,36.58950614448784
Deaths,Ukraine,Both,Age-standardized,COVID-19,Rate,2020,34.61704015307594,71.4970446571977,10.997441124525622
Deaths,Azerbaijan,Both,Age-standardized,COVID-19,Rate,2020,186.6887188453153,231.80271382782723,140.6843289453064
Deaths,United Kingdom,Both,Age-standardized,COVID-19,Rate,2020,63.93820718288038,66.5647393507492,61.40561947010951
Deaths,Dominica,Both,Age-standardized,COVID-19,Rate,2020,8.984878187665984e-09,8.984878187665925e-09,8.984878187665925e-09
Deaths,Iran (Islamic Republic of),Both,Age-standardized,COVID-19,Rate,2020,86.79961411129729,101.11404835115381,73.1407378488807
Deaths,North Macedonia,Both,Age-standardized,COVID-19,Rate,2020,158.05137181334422,201.18843875346556,111.74819160706308
Deaths,Viet Nam,Both,Age-standardized,COVID-19,Rate,2020,0.7429362672118092,1.4221763178912552,0.17647045653374874
Deaths,China,Both,Age-standardized,COVID-19,Rate,2020,1.4857566400828246,7.460812759956129,0.31580595750644286
Deaths,Georgia,Both,Age-standardized,COVID-19,Rate,2020,83.56745047335886,106.6075039615654,58.857581103302266
Deaths,Burundi,Both,Age-standardized,COVID-19,Rate,2020,88.03575718839289,96.96218434571428,81.18842961561806
Deaths,Germany,Both,Age-standardized,COVID-19,Rate,2020,16.090848350329235,17.926572890326568,14.896399601710108
Deaths,Guatemala,Both,Age-standardized,COVID-19,Rate,2020,118.40224354689077,156.23909861366684,83.57029371731909
Deaths,Japan,Both,Age-standardized,COVID-19,Rate,2020,0.7836718283412081,0.8821412458691122,0.6984565116015038
Deaths,Bangladesh,Both,Age-standardized,COVID-19,Rate,2020,100.59653022828272,135.57085929016725,86.25903824141454
Deaths,Guinea-Bissau,Both,Age-standardized,COVID-19,Rate,2020,387.48171087981825,440.25379944330047,340.90377801248917
Deaths,Haiti,Both,Age-standardized,COVID-19,Rate,2020,172.25293504891496,292.41388896001587,73.29954709609407
Deaths,Serbia,Both,Age-standardized,COVID-19,Rate,2020,70.26266618842726,119.53032510111969,22.196949529681888
Deaths,Tajikistan,Both,Age-standardized,COVID-19,Rate,2020,182.6253493687324,219.46314126385457,138.14818655181534
Deaths,Libya,Both,Age-standardized,COVID-19,Rate,2020,104.68222782910948,120.90268601241854,83.39332659671152
Deaths,Micronesia (Federated States of),Both,Age-standardized,COVID-19,Rate,2020,8.692908046322008e-09,8.69290804632208e-09,8.69290804632208e-09
Deaths,Namibia,Both,Age-standardized,COVID-19,Rate,2020,139.187681950344,158.8649659709839,124.72249163861368
Deaths,Italy,Both,Age-standardized,COVID-19,Rate,2020,49.66585556185517,51.46364816785148,47.70941062086766
Deaths,New Zealand,Both,Age-standardized,COVID-19,Rate,2020,0.31404625312338946,0.3391231727702355,0.2912118099328547
Deaths,Kenya,Both,Age-standardized,COVID-19,Rate,2020,228.4292005684743,248.2956605749804,210.7014898141063
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,COVID-19,Rate,2020,168.58446648079698,182.9149016882752,153.2639732787991
Deaths,Estonia,Both,Age-standardized,COVID-19,Rate,2020,11.31825852035735,27.44362175494039,5.880265617268035
Deaths,Trinidad and Tobago,Both,Age-standardized,COVID-19,Rate,2020,37.15577602212383,64.27649192008892,15.81519615839253
Deaths,Nigeria,Both,Age-standardized,COVID-19,Rate,2020,107.92731886866079,118.17466338636295,99.47429564391221
Deaths,Antigua and Barbuda,Both,Age-standardized,COVID-19,Rate,2020,5.295727674824077,6.405254721809403,4.405789991874689
Deaths,Saudi Arabia,Both,Age-standardized,COVID-19,Rate,2020,76.00557978559323,90.08543196784221,59.7683050062278
Deaths,Congo,Both,Age-standardized,COVID-19,Rate,2020,185.8126360261653,209.41394065985781,147.89753221224746
Deaths,Benin,Both,Age-standardized,COVID-19,Rate,2020,69.87884695177505,84.79256346108792,52.129112746472984
Deaths,Democratic Republic of the Congo,Both,Age-standardized,COVID-19,Rate,2020,162.28997047989176,178.10036892481554,147.85983816695312
Deaths,Portugal,Both,Age-standardized,COVID-19,Rate,2020,33.86125565209586,37.302315749286194,30.04388705935239
Deaths,Rwanda,Both,Age-standardized,COVID-19,Rate,2020,35.9969560058357,42.60195148226521,23.647787226539563
Deaths,Togo,Both,Age-standardized,COVID-19,Rate,2020,88.34766893826074,102.37955238164976,75.82103209952835
Deaths,Greenland,Both,Age-standardized,COVID-19,Rate,2020,1.1555678519158128e-08,1.1555678519158045e-08,1.1555678519158045e-08
Deaths,United Arab Emirates,Both,Age-standardized,COVID-19,Rate,2020,17.816713032045413,37.491699649381175,7.322923635350642
Deaths,Yemen,Both,Age-standardized,COVID-19,Rate,2020,125.20878991474757,146.35248990107885,100.01416177910177
Deaths,Guam,Both,Age-standardized,COVID-19,Rate,2020,58.64460973580187,66.6897217972456,51.99352164480427
Deaths,Chad,Both,Age-standardized,COVID-19,Rate,2020,222.68623452559902,263.88903647574097,185.9432283385852
Deaths,Uganda,Both,Age-standardized,COVID-19,Rate,2020,98.79819736703999,114.59272652284572,64.04049133725178
Deaths,Nauru,Both,Age-standardized,COVID-19,Rate,2020,1.2365154992863605e-07,1.2365154992863558e-07,1.2365154992863558e-07
Deaths,Saint Kitts and Nevis,Both,Age-standardized,COVID-19,Rate,2020,0.002018769629535377,0.003267155427352879,0.0010199255668016504
Deaths,United States Virgin Islands,Both,Age-standardized,COVID-19,Rate,2020,26.226561843404717,42.65748519673999,12.437828898711134
